site,url,hero_type,hero_has_human,color_mode,color_chroma,color_temperature,color_field,color_accent,levers,hook_one_liner,trust_move,desire_move,confidence,evidence_notes
Clerk,https://clerk.com/,typography-led,no,light,muted,cool,clinical-white,none,authority|social-proof-logos|social-proof-numbers|competence-precision|specificity-named-method|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Clerk erweitert Authentifizierung zum vollständigen Nutzermanagement.,"Die sichtbare Series-C-Summe, Kundenlogos und der kopierbare SKILL.md-Befehl verbinden Autorität mit Spezifität.","Launch faster, scale easier richtet den Wunsch auf Wachstumsgewinne (Higgins Promotion).",high,"Zentrische Headline, Terminal-Snippet, Trust-Leiste; Produkt-UI folgt im ersten Scroll."
Nothing,https://www.nothing.tech/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,cool,editorial-paper,identity-color,authority|competence-precision|identity-aspiration|regulatory-promotion|product-as-demo|one-sentence-promise|scarcity-exclusivity,Nothing fragt WHO ARE YOU? und koppelt Hardware an Identitätsarchetypen.,"Award-winning tech, transparente Gehäuse und KEF-Tuning inszenieren Fiske-Kompetenz.","Back-to-School-Rabatt und subkulturelle Rollen (hiking bro, film fan) machen Geräte zur Identitätsaspiration.",medium,"Cookie-Dialog verdeckt den ersten Viewport; Scrollbild zeigt Punktschrift, Produktpicker und Smartphones."
Webflow,https://webflow.com/,mixed:typography-led+product-ui (typography-led dominates),no,light,muted,cool,clinical-white,identity-color,authority|social-proof-logos|competence-precision|specificity-named-method|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,"Webflow macht die Website zum Wachstumsmotor für Marke, KI-Suche und Umsatz.","Kundenlogos (Spotify, TED, Dropbox) und benannte AEO-/MCP-Funktionen vermitteln Kompetenz.",Wachstum und Revenue aktivieren Higgins’ Promotionsfokus.,high,"Große Headline, drei Produktkarten, blauer Contact-Sales-CTA und Logo-Leiste."
Notion,https://www.notion.so/,mixed:typography-led+product-ui (typography-led dominates),no,light,muted,cool,clinical-white,identity-color,social-proof-logos|warmth-belonging|competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,"Notion verspricht den gemeinsamen Arbeitsraum, in dem Teams und Agenten shipten.","Markenlogos (OpenAI, Figma, NVIDIA) und die Ramp-HQ-Oberfläche signalisieren Kompetenz; kleine Doodle-Köpfe stiften Wärme.",Ship together adressiert Google/CEB-Zugehörigkeit plus produktive Transformation.,high,"Zentrale Headline, kleine illustrierte Icons (kein Human-Anker), zwei CTAs, Produkt-UI und Logo-Leiste."
Figma,https://www.figma.com/,typography-led,no,light,muted,cool,clinical-white,CTA-only,authority|social-proof-numbers|competence-precision|identity-aspiration|transformation|regulatory-promotion|one-sentence-promise,Figma setzt auf den Satz The intelligent canvas for infinite creativity.,Die 95-Prozent-Fortune-500-Angabe im Folgescroll und die karge Präzision des ersten Screens vermitteln Autorität.,Infinite creativity aktiviert Identitätsaspiration und Promotionsfokus.,high,Erster Screen ist fast nur Typografie plus Get-started; Produktcollage und Logos folgen im Scroll.
Scale AI,https://scale.com/,typography-led,no,dark,muted,cool,brand-color-field,CTA-only,authority|social-proof-logos|social-proof-numbers|competence-precision|specificity-named-method|regulatory-prevention|one-sentence-promise,Scale verspricht Reliable AI for the world’s most important decisions.,HTML-Belege zu 90 Prozent der Frontier-Modellbauer sowie Mayo Clinic und Meta koppeln Autorität mit Outcomes.,Critical decisions und no shortcuts rahmen Prevention (keine unzuverlässige KI in Hochrisikokontexten).,medium,"Live-Screenshot zeigte Error 500 im Scale-Grün; Copy, H1 und Kundenbeispiele stammen aus dem öffentlichen HTML."
Quo (formerly OpenPhone),https://www.quo.com/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,cool,clinical-white,CTA-only,authority|social-proof-numbers|competence-precision|transformation|loss-aversion|regulatory-prevention|product-as-demo|one-sentence-promise,"Quo verspricht, mit dem bestbewerteten Geschäftstelefon jeden Anruf zu erfassen.","4,7 Sterne aus 3300+ Reviews und die Nummer-eins-Behauptung stützen Autorität.",Never miss an opportunity even after hours nutzt Kahneman/Tversky-Verlustaversion und Higgins-Prevention.,high,"Bewertungszahl, Headline, limettengrüner Try-for-free-CTA und Inbox-UI im selben Viewport."
PostHog,https://posthog.com/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,mixed,other (illustrated-desktop),identity-color,social-proof-numbers|competence-precision|specificity-named-method|transformation|loss-aversion|regulatory-prevention|regulatory-promotion|product-as-demo|one-sentence-promise,PostHog verspricht den Wechsel in den selbstfahrenden Produktmodus.,"500000+ Teams, 97 Prozent zahlen 0 Dollar und eine Setup-Box machen Kompetenz überprüfbar.",Automatische Diagnose und Bugfixes verbinden Verlustvermeidung mit Promotionsgewinn.,high,"Desktop-Metapher mit Rasenhintergrund, orangem Get-started und detaillierter Copy im Fenster."
Teenage Engineering,https://teenage.engineering/,mixed:human-illustration+typography-led (human-illustration dominates),yes,light,muted,warm,editorial-paper,identity-color,competence-precision|specificity-named-method|identity-aspiration|product-as-demo|ritual-lifestyle,Daily Life of Mr. Update macht Firmware-Pflege zur humorvollen Markenwelt.,Modellnummern wie EP-133 2.5 und die Produkttaxonomie vermitteln technische Präzision.,Die gezeichnete Tüftlerfigur verkauft kreative Insider-Identität als Alltagsritual.,high,"Schwarzweiße Editorial-Illustration, massive Display-Typografie, sparsame Orange-Akzente."
Granola,https://www.granola.ai/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,warm,editorial-paper,identity-color,social-proof-logos|competence-precision|privacy-safety|transformation|regulatory-prevention|regulatory-promotion|product-as-demo|one-sentence-promise|single-cta|ritual-lifestyle,Granola ist das KI-Notizbuch für Back-to-back-Meetings ohne Meeting-Bot.,"Ohne Bot, privat als Standard und Kundenlogos verbinden Präzision mit Sicherheit.",Der Meeting-Alltag wird zum Ritual; Prevention (kein Bot) plus Promotion (bessere Notizen).,high,"Serifenheadline, olivgrüner Download-CTA, Notiz-UI rechts, Plattformzeile."
Cursor,https://cursor.com/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,warm,editorial-paper,none,authority|competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Cursor verspricht ambitionierten Teams einen Coding-Agenten.,Die große Desktop-/CLI-Demo mit konkreten Tasks und Modellen zeigt Fiske-Kompetenz.,Ambitious software adressiert Google/CEB-Anerkennung und Promotionsfokus.,high,Headline plus zwei CTAs über einer detaillierten Agenten-Oberfläche; Mini-Avatare zählen nicht.
Attio,https://attio.com/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,cool,clinical-white,CTA-only,authority|social-proof-numbers|competence-precision|specificity-named-method|identity-aspiration|transformation|loss-aversion|regulatory-prevention|regulatory-promotion|product-as-demo|one-sentence-promise,Attio begrüßt in der Kategorie agentic revenue.,"CRM-Demo, Deal-Signale und 30000+ Kunden vermitteln Präzision.",Pipeline rund um die Uhr ist Promotion; stalled renewals nutzen Verlustaversion.,high,"Welcome to agentic revenue, zwei CTAs, Produktfenster; Elena-Verna-Banner als Autorität."
Spline,https://spline.design/,typography-led,no,dark,muted,cool,tech-black,identity-color,,Ein Marketing-Hook der Homepage ist wegen des Client-Fehlers nicht beurteilbar.,"Footer-Links zu Enterprise, Security und Customers deuten Kompetenz an, ohne Hero-Evidenz.",Ein Begehrensversprechen ist im Fehlerzustand nicht sichtbar.,low,Beide Aufnahmen zeigen An error occurred on client auf schwarzem Grund zwischen Header und Footer.
Pika,https://pika.art/,typography-led,no,light,muted,warm,editorial-paper,CTA-only,identity-aspiration|one-sentence-promise|competence-precision|scarcity-exclusivity,Pika empfängt mit WELCOME TO THE PIKA UNIVERSE statt Featureliste.,"API-, Pricing- und Careers-Navigation signalisiert eine reife Produktfirma.",Die Universumsmetapher und das karge Feld erzeugen exklusive Neugier.,medium,Erster Screen ist fast nur Typografie; Prompt-Demo und API-Hinweise liegen im Extrakt bzw. Scroll.
Wispr Flow,https://wisprflow.ai/,typography-led,no,light,muted,warm,editorial-paper,identity-color,competence-precision|transformation|product-as-demo|one-sentence-promise|single-cta,"Don’t type, just speak verdichtet Stimme-zu-Text auf einen Befehl.",Klare Texte in jeder App plus Plattformliste vermitteln Fiske-Kompetenz.,"Die Wellenform, die zu poliertem Text wird, ist Produktdemo und Promotion.",high,"Cremefarbener Serifen-Hero, lavendelfarbener Download-CTA, Waveform-Grafik."
Lovable,https://lovable.dev/,typography-led,no,light,muted,cool,clinical-white,none,privacy-safety,Ein Marketing-Hook ist hinter der Cloudflare-Prüfung nicht sichtbar.,Nur der Bot-Schutz und das kleine Markenlogo sind sichtbar.,Ein Nutzenversprechen fehlt.,low,Cloudflare-Wall blockierte Hero und Scroll; kein Produktmarketing kodierbar.
Cosmos,https://www.cosmos.so/,mixed:typography-led+product-ui (typography-led dominates),no,light,muted,warm,editorial-paper,CTA-only,identity-aspiration|product-as-demo|one-sentence-promise|single-cta|regulatory-promotion,Your space for inspiration macht Entdeckung zum Identitätsversprechen.,Ein harter Trust-Beleg fehlt; die polierte UI und das Suchfeld wirken kompetent.,Explore/Try und Sign up rahmen Higgins-Promotion auf kreative Zugehörigkeit.,high,"Nach Recapture: Headline, schwebende Content-Kacheln, Suchfeld celestial maps, zwei CTAs."
Waabi,https://waabi.ai/,mixed:product-ui+typography-led (product-ui dominates),no,light,muted,warm,other (photographic-roadscape),identity-color,competence-precision|specificity-named-method|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Built to think. Born to haul. koppelt KI und Gütertransport in einem Satz.,Der Waabi-Lkw als physisches Artefakt und Physical-AI-Sprache vermitteln Praxisnähe.,Autonomer Transport wird als skalierbarer Fortschritt (Promotion) gezeigt.,high,"Cinematisches Truck-Foto, große Serifenheadline, pinker Scroll-Pfeil."
Perplexity,https://www.perplexity.ai/,typography-led,no,light,muted,cool,clinical-white,none,privacy-safety,Ein Marketing-Hook ist hinter der Cloudflare-Prüfung nicht sichtbar.,Nur die Sicherheitsverifizierung ist sichtbar.,Ein Nutzenversprechen fehlt.,low,Cloudflare-Wall blockierte die eigentliche Suche-Homepage.
Tennr,https://www.tennr.com/,typography-led,no,dark,muted,warm,brand-color-field,identity-color,social-proof-logos|social-proof-numbers|competence-precision|specificity-named-method|privacy-safety|transformation|loss-aversion|regulatory-prevention|one-sentence-promise,Move patients forward verdichtet Patientenfluss auf eine Editorial-Zeile.,"Policy-grade decisioning, Privacy-Karte und landesweite Logos signalisieren klinische Kompetenz.",Weniger Verzögerungen und Ablehnungen adressieren Verlustaversion und Prevention.,high,"Terracotta-Vollfläche, Serifenheadline, LEARN MORE / BOOK A DEMO, Privacy-Karte."
Krea,https://www.krea.ai/,mixed:product-ui+typography-led (product-ui dominates),no,dark,muted,cool,tech-black,CTA-only,authority|social-proof-numbers|competence-precision|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise|scarcity-exclusivity,Krea behauptet die weltweit leistungsstärkste Creative-AI-Suite.,"Monitor mit Produkt-UI, ByteDance-Banner und 30-Millionen-Nutzer im Extrakt stützen Kompetenz.",Der Workstation-Hero macht kreative Macht unmittelbar vorstellbar; 40% OFF erzeugt Knappheit.,high,"Dunkler Monitor-Hero vor Bergkulisse, weißer Open-Krea-CTA."
Anthropic,https://www.anthropic.com/,typography-led,no,split,muted,warm,editorial-paper,CTA-only,authority|competence-precision|privacy-safety|regulatory-prevention|regulatory-promotion|one-sentence-promise,AI research and products that put safety at the frontier verbindet Führung mit Sicherheit.,Public-Benefit-Status und Fragen zu Governance/Gesellschaft vermitteln institutionelle Autorität.,Nutzen sichern vs. Risiken mindern bedient Higgins Promotion+Prevention und Prospect Theory.,high,"Warmes Papierfeld, dann schwarzer Fragenblock; Try Claude als CTA."
Superhuman,https://www.superhuman.com/,human-photo,yes,dark,muted,mixed,other (cinematic-dusk),identity-color,social-proof-logos|identity-aspiration|transformation|regulatory-promotion|one-sentence-promise|single-cta,"Superpowers, everywhere you work macht Leistung zur Identität.",Kundenlogos im Folgescroll liefern Social Proof; die Editorial-Fotografie signalisiert High-End-Kompetenz.,Get Superhuman ist einziger Primär-CTA und Promotionsversprechen auf gesteigerte Wirksamkeit.,high,"Vollflächiges Porträt, Dämmerung, zentrierte Headline, einzelner CTA."
Opal,https://www.opal.so/,mixed:typography-led+environmental-photo (typography-led dominates),no,dark,muted,cool,tech-black,CTA-only,authority|social-proof-numbers|transformation|loss-aversion|regulatory-prevention|one-sentence-promise,Attention on autopilot verspricht automatischen Schutz der Aufmerksamkeit.,"Apple Design Award, 4,8 und 150k+ Ratings verbinden Autorität mit Zahlen.",Schutz vor Bildschirmzeit nutzt Prevention und Prospect Theory (verlorene Stunden).,high,"Höhlenausblick, Typografie, Store-Badges, Stunden-Zähler im unteren Rand."
Clinique La Prairie,https://www.cliniquelaprairie.com/,typography-led,no,dark,muted,cool,tech-black,CTA-only,authority|identity-aspiration|transformation|one-sentence-promise|scarcity-exclusivity,At the heart of the secret of life macht Langlebigkeit zum Geheimnis.,Most progressive longevity clinic in the world und Switzerland setzen auf Autorität.,BOOK YOUR PROGRAM und das Secret-Framing erzeugen exklusive Transformation.,medium,"Schwarzes Typografiefeld; Hintergrundmedium ISP-blockiert, Navigation und Claim bleiben sichtbar."
OpenEvidence,https://www.openevidence.com/,product-ui,no,light,muted,warm,clinical-white,identity-color,authority|social-proof-logos|competence-precision|privacy-safety|regulatory-prevention|product-as-demo|one-sentence-promise,Die medizinische Suchleiste ist selbst der Hook.,"NEJM, JAMA, Nature, Cochrane und HIPAA bündeln Autorität und Sicherheit.",Drug interactions und Patient Handout aktivieren klinischen Prevention-Fokus.,high,"Ask a medical question, oranger Pfeil, Partnerkarten darunter."
Equinox,https://www.equinox.com/,human-photo,yes,dark,muted,warm,other (warm-sauna-interior),CTA-only,competence-precision|identity-aspiration|loss-aversion|regulatory-promotion|scarcity-exclusivity|single-cta|ritual-lifestyle,Das befristete Reset-Angebot koppelt Club-Beitritt an Spa-Guthaben.,High-end Sauna-Fotografie und präzise Dollar-Angabe inszenieren Kompetenz.,Limited time aktiviert Verlustaversion; Join Now ist der einzige dominante CTA.,high,"Drei Menschen in dunkler Sauna, EXTENDED OFFER, weiße JOIN-NOW-Buttons."
Stripe,https://stripe.com/,mixed:abstract-gradient+typography-led (abstract-gradient dominates),no,light,saturated,mixed,clinical-white,identity-color,social-proof-logos|social-proof-numbers|competence-precision|transformation|regulatory-promotion|one-sentence-promise,Financial infrastructure to grow your revenue ist der eine Satz.,"Live-GDP-Ticker und Logos (Amazon, NVIDIA, Google) vermitteln Reichweite.",Vom ersten Transaction bis zur Milliarde ist Promotions-Skalierung.,high,"Farbwelle oben rechts, lila Get-started, Logo-Leiste im ersten Scroll."
Arc Browser,https://thebrowser.company/,typography-led,no,light,muted,warm,editorial-paper,none,authority|competence-precision|identity-aspiration|one-sentence-promise|scarcity-exclusivity,The Browser Company verspricht bessere Wege ins Internet mit Dia und Arc – ohne Produktbild.,Das Siegel-Logo THE BROWSER COMPANY OF NY inszeniert institutionelle Autorität.,Die karge Editorial-Fläche erzeugt Exklusivität durch Weglassen der Demo.,high,"Nach Recapture: Wachssiegel, eine Serifenzeile, Links zu Dia/Arc, cremefarbenes Feld."
On Running,https://www.on-running.com/,typography-led,no,light,muted,cool,clinical-white,CTA-only,competence-precision|specificity-named-method|identity-aspiration|ritual-lifestyle|one-sentence-promise,Performance-grade apparel. Built for zero-distraction training sessions.,Patented cushioning und Swiss engineering im HTML-Copy signalisieren Präzision.,Move / Dream On und Athleten-Stories machen Laufen zum Identitätsritual.,medium,"Browser landete auf auth.on.com; Kodierung aus öffentlichem HTML (H1, Shop-CTAs, Cloud-Modelle, Mission). Kein Hero-Foto im Screenshot belegbar."
Family,https://family.co/,mixed:object-illustration+typography-led (object-illustration dominates),no,light,saturated,mixed,clinical-white,CTA-only,warmth-belonging|identity-aspiration|transformation|regulatory-promotion|product-as-demo|one-sentence-promise,Your favorite crypto wallet rahmt Wallet als alltagsnahe Lieblingsapp.,Self-Custody-Hinweise im Folgescroll koppeln Wärme mit Sicherheit; Superlative bleiben unbelegt.,Bunte Blob-Figuren und simplicity-Copy erzeugen Zugehörigkeit – für Lumen eher Gegenbeispiel.,high,"Weißer Hero, zwei Illustrationscluster, schwarzer iOS-Download."
Spotify,https://www.spotify.com/,product-ui,yes,dark,saturated,cool,tech-black,identity-color,authority|competence-precision|product-as-demo|regulatory-promotion|one-sentence-promise|identity-aspiration,Der Webplayer ist die Homepage: unbegrenzte Songs ohne Kreditkarte.,Trending-Katalog und prominente Artist-Porträts borgen kulturelle Autorität.,Sign up free macht den Gewinn sofort erkundbar (product-as-demo).,medium,"www.spotify.com leitet auf open.spotify.com um; kodiert wurde diese Produkt-Oberfläche, nicht eine klassische Kampagnen-Landingpage."
Typology,https://www.typology.com/,human-photo,yes,light,muted,warm,clinical-white,identity-color,competence-precision|specificity-named-method|product-as-demo|one-sentence-promise|ritual-lifestyle,Diagnostic de peau verspricht eine verfeinerte Routine zur Rentrée.,Die benannte Diagnose und die geordneten Flakons vermitteln methodische Präzision.,Draufsicht auf Mensch und Produkte übersetzt Pflege in ein privates Ritual.,high,"Vogelperspektive, schwarze Typografie, GO-Standortleiste."
Limitless,https://www.limitless.ai/,mixed:video-loop+human-photo (human-photo dominates),yes,light,muted,mixed,clinical-white,identity-color,authority|warmth-belonging|privacy-safety|one-sentence-promise,Limitless has been acquired by Meta ersetzt das Produktversprechen.,Meta liefert institutionelle Autorität; das Gründerporträt stiftet Wärme.,"Die Seite richtet Begehren auf Orientierung bestehender Nutzer, nicht auf Kauf.",high,Akquise-Headline plus Video-Thumbnail mit Wearable und häuslichem Hintergrund.
Endel,https://endel.io/,product-ui,no,dark,muted,cool,tech-black,CTA-only,authority|competence-precision|specificity-named-method|transformation|regulatory-promotion|product-as-demo|one-sentence-promise|single-cta|ritual-lifestyle,"Personalisierte Klanglandschaften für Fokus, Entspannung und Schlaf, backed by neuroscience.",Neuroscience-Claim und patentierte Echtzeit-Anpassung im Extrakt verbinden Autorität mit Methode.,Gerätefamilie und Try Today machen Endel zum Zustandsritual.,high,"Schwarzer Hero, Gerätezeile mit Focus/Relax-UI, einzelner CTA."
Clay,https://www.clay.com/,object-illustration,no,split,saturated,mixed,brand-color-field,identity-color,social-proof-numbers|competence-precision|specificity-named-method|transformation|regulatory-promotion|one-sentence-promise,Build systems to grow revenue ist der direkte Wachstums-Satz.,100000+ GTM-Teams und 140-Prozent-Pipeline im Extrakt liefern Zahlenkompetenz.,Agentic workflows machen Umsatz zur gestaltbaren Transformation.,high,"Surreale 3D-Hügel mit Trichter und Rohren, Headline im grünen Feld, zwei CTAs."
Revolut,https://www.revolut.com/,typography-led,no,light,muted,cool,clinical-white,none,privacy-safety,Nur die Sicherheitsprüfung ist als Hook sichtbar.,"Die Check-Seite ist Zugangskontrolle, kein Markenvertrauen.",Kein Produktbegehren vor der Verifikation.,low,Just a quick security check / Cloudflare; Marketing-Homepage nicht erreicht.
Plunge,https://plunge.com/,human-photo,yes,dark,muted,mixed,other (outdoor-wellness),identity-color,social-proof-numbers|competence-precision|loss-aversion|scarcity-exclusivity|product-as-demo|ritual-lifestyle,You've Got Up To $6493 Off koppelt Luxus-Hardware an Verlustangst.,"4,9 aus 1000+ Reviews plus Garantie im Scroll schaffen Zahlenvertrauen.",Countdown und Rabatt aktivieren Prospect Theory; Sauna/Plunge zeigen das Ritual.,high,Promo-Overlay auf Lifestyle-Foto; Scroll zeigt Nutzungsszene und Trust-Leiste.
Loop Earplugs,https://www.loopearplugs.com/,human-photo,yes,light,saturated,warm,brand-color-field,identity-color,authority|warmth-belonging|identity-aspiration|regulatory-prevention|one-sentence-promise|single-cta|ritual-lifestyle,Loud world. Iconic composure. verspricht Haltung in Lärm.,Paris-Hilton-Kooperation liefert celebrity authority.,Icons who deserve better macht Lärmschutz zur Status-Prevention und Lifestyle.,medium,Länderdialog verdeckt den ersten Shot; Scroll legt pinken Kampagnen-Hero frei.
Othership,https://www.othership.us/,video-loop,no,dark,muted,warm,other (immersive-bathhouse),identity-color,social-proof-numbers|warmth-belonging|identity-aspiration|transformation|regulatory-promotion|one-sentence-promise|ritual-lifestyle|scarcity-exclusivity,Otherworldly sauna and ice bath experiences for human beings to feel good now.,1000+ five-star reviews als Badge; Feel-good-now-Sprache stiftet Wärme.,Sauna/Eis als gemeinschaftliches Transformationsritual; 22% OFF als Promotion.,high,"Dunkler Video-Hero, Serifenheadline, mintfarbene Book-CTAs, Review-Badge."
Friend,https://friend.com/,human-photo,yes,dark,muted,warm,other (cinematic-photo),CTA-only,warmth-belonging|identity-aspiration|single-cta|ritual-lifestyle|product-as-demo,Meet your friend deutet das Wearable als Beziehung.,Cinematic Fotografie erzeugt Fiske-Wärme ohne funktionale Belege.,"Alltagsszene (Auto, golden hour) macht den Begleiter zum Identitätsritual.",medium,"Vollflächiges Menschenfoto, kleines Gerät auf dem Autodach, ein CTA; kaum Produktkopie."
