site,url,hero_type,hero_has_human,color_mode,color_chroma,color_temperature,color_field,color_accent,levers,hook_one_liner,trust_move,desire_move,confidence,evidence_notes
InsideTracker,https://www.insidetracker.com/,typography-led,no,light,muted,cool,clinical-white,identity-color,social-proof-logos|competence-precision|transformation|identity-aspiration|specificity-named-method,Track everything to reach your strongest healthiest body via a personalized data-driven plan.,"WSJ, Forbes, CNN, and TODAY logos in featured-on row below hero copy.",Reach your potential subcopy and Start your membership CTA frame health as achievable transformation.,high,Extremely low-contrast white-on-off-white typography hero; faint background figure not legible as human presence.
ZOE,https://zoe.com/,typography-led,no,dark,muted,cool,other,CTA-only,authority|competence-precision|transformation|one-sentence-promise|ritual-lifestyle|regulatory-promotion,Daily30 supplement hero promises a good gut day by swapping pills for 30+ plants.,Designed by ZOE gut health scientists and science-backed framing in subcopy.,Make it a good gut day. headline and yellow Get Daily30 CTA on gray field; free gift banner above.,high,color_field: medium gray neutral field (not tech-black); digest shows additional app and science sections below fold. | color_field other: photographic full-bleed / non-token field.
Numan,https://www.numan.com/,mixed,no,light,saturated,cool,clinical-white,identity-color,social-proof-numbers|authority|privacy-safety|competence-precision|identity-aspiration|transformation|product-as-demo,"OWN YOUR HEALTH headline with service cards for weight loss, sexual health, and diagnostics.","35,556 Trustpilot reviews, CQC regulation mention, and expert clinician support cards below hero.",Purple identity branding and product photography cards sell happier healthier longer life aspiration.,high,mixed: typography-led headline dominates over abstract blue-purple wash and product-ui service cards; no human faces.
Medichecks,https://www.medichecks.com/,human-photo,yes,light,muted,mixed,clinical-white,identity-color,social-proof-numbers|competence-precision|identity-aspiration|transformation|product-as-demo,Unlock the Ultimate You with at-home blood tests shown as a physical kit in hand.,Feefo 4.7/5 rating in header and search over 200 tests claim in nav bar.,Woman holding Advanced Well Woman kit toward camera makes testing tangible and aspirational.,high,Pink/magenta identity accent on white chrome; hero photo with dark overlay and white headline text.
Future,https://www.future.co/,typography-led,no,light,muted,warm,clinical-white,CTA-only,single-cta,Nearly empty viewport centers on Find Your Coach with beta health coaching plus DEXA announcement.,Beta announcement for health coaching and DEXA plan signals clinical depth but hero lacks supporting proof.,Single centered Find Your Coach CTA is the only visible desire lever in first viewport.,medium,Screenshot shows minimal white page; digest contains Personal training reimagined copy and hero image not rendered in viewport.
Clay Health,https://www.joinclay.com/,human-photo,yes,split,muted,warm,other,none,authority|competence-precision|specificity-named-method|warmth-belonging|identity-aspiration|transformation|one-sentence-promise,Health lived. — physician-led team reading 100+ biomarkers across five elements of health.,"Physician-led health team, Medical Lead role, and 100+ biomarkers specificity in hero copy.",Atmospheric golden-hour portrait and Health lived. headline sell premium integrated peak-health aspiration.,high,color_field: warm atmospheric photography on dark hero transitioning to cream editorial-paper below; $249/month visible. | color_field other: photographic full-bleed / non-token field.
Hims,https://www.hims.com/,mixed,yes,light,muted,warm,editorial-paper,identity-color,competence-precision|transformation|loss-aversion|regulatory-promotion|product-as-demo|one-sentence-promise,"The care you've always deserved opens a grid of Rx weight loss, sexual health, and wellness entry points.","Named medications (Wegovy pen, Novo pill) and specific lose up to 25% claim on weight card.",Mixed product shots and smiling man with weight-loss graph sell multi-condition telehealth transformation.,high,mixed: typography-led headline dominates over human-photo and product-ui service cards; GLP-1 pill announcement bar.
Ro,https://ro.co/,mixed,yes,light,saturated,mixed,clinical-white,identity-color,authority|social-proof-numbers|privacy-safety|competence-precision|identity-aspiration|transformation|regulatory-promotion|single-cta|product-as-demo,Healthier on Ro pairs Serena Williams celebrity endorsement with GLP-1 product cards.,"FDA-approved banner, millions of members, free discreet shipping, and 100% online process bullets.",Serena Williams in neon yellow athletic wear holding injector pen drives aspirational weight-loss start now.,high,mixed: human-photo (Serena) dominates over product-ui GLP-1 panel; neon yellow identity accent throughout.
Thorne,https://www.thorne.com/,human-photo,yes,light,muted,cool,editorial-paper,identity-color,authority|competence-precision|identity-aspiration|transformation|ritual-lifestyle|single-cta,Performance proven. — athlete hero with NSF Certified for Sport supplements on concrete editorial backdrop.,NSF Certified for Sport certification and clinically formulated precision dosages in subcopy.,Fit athlete with basketball and shaker bottle sells elevate your routine performance aspiration.,high,Cookie consent modal at bottom partially obscures lower hero; FSA/HSA Truemed banner at top; purple Taia accent.
Neko Health,https://www.nekohealth.com/,typography-led,no,light,muted,cool,clinical-white,none,,Live homepage blocked by Vercel Security Checkpoint in this capture environment.,Not observable on live capture.,Not observable on live capture.,low,Vercel bot wall; no marketing coding from live homepage. Stack status was already error.
Viome,https://www.viome.com/,typography-led,no,light,muted,warm,editorial-paper,identity-color,one-sentence-promise|specificity-named-method|competence-precision|single-cta|privacy-safety,Your body knows what you need. We help you fix it.,Large Privacy Promise cookie banner upfront with policy links,Personalized nutrition plans built from your unique biology,high,Minimalist hero with forest-green serif emphasis on 'need' and 'fix it'; large empty space above text may hold media but viewport is typography-dominant. Privacy modal covers lower third.
Fountain Life,https://www.fountainlife.com/,video-loop,no,dark,muted,mixed,clinical-white,identity-color,authority|competence-precision|one-sentence-promise|transformation|specificity-named-method,"Live longer, live healthier",Winner Longevity Clinic of the Year 2025 award badge beside headline,Uncover disease before symptoms appear; optimize healthspan and longevity via AI diagnostics,high,Full-bleed clinic hallway video background with dark overlay card; mute icon visible. Warm interior lighting with cool cyan accent on 'live healthier' and top banner. Silhouette on distant screen only — no live human in scene.
Withings,https://www.withings.com/,product-ui,no,split,muted,warm,editorial-paper,CTA-only,social-proof-numbers|competence-precision|authority|one-sentence-promise|transformation,"The scale, reinvented for longevity. Available now.","87% of users say Withings has had a positive impact on their health (3,274-user survey)","Understand the full picture — weight, body composition, sleep, activity, heart — beyond a single number",high,BodyScan 2 product hero on warm taupe background with periwinkle 'Shop now' CTA; FSA/HSA eligible badge. Below-fold stat bar on off-white editorial-paper field.
Everlywell,https://www.everlywell.com/,typography-led,no,light,muted,cool,clinical-white,identity-color,competence-precision|one-sentence-promise|product-as-demo|authority,"Lab testing, simplified.",Clinical utilitarian search-engine layout projects medical seriousness,Find your answers with Everlywell — search-driven product discovery,high,Centered headline with prominent search bar and trending searches; no hero imagery. Dark forest-green logo/nav with purple discount accents. Cookie consent banner at bottom.
LetsGetChecked,https://www.letsgetchecked.com/,mixed,no,light,muted,cool,clinical-white,identity-color,one-sentence-promise|social-proof-numbers|warmth-belonging|competence-precision,Better care begins here,Delivering solutions to 5000+ organizations; Powered by FuzeHealth branding,"Remove barriers by delivering testing, consultations, and medication wherever you are",medium,"Mixed: typography-led dominates viewport; human-photo intended but hero image failed to load (broken icon, alt: 'Man using laptop and test kit'). Sparse clinical-white layout with teal CTA."
Natural Cycles,https://www.naturalcycles.com/,human-photo,yes,light,muted,warm,editorial-paper,identity-color,social-proof-numbers|authority|competence-precision|identity-aspiration|one-sentence-promise|regulatory-promotion,"Promises fertility control for lifelong wellness, validated by 6M+ users behind a warm human-photo hero.",6+ million users badge plus For Clinicians nav and temperature chart overlay.,Take control of your fertility — empowerment across birth control to perimenopause.,high,"Cookie modal overlays but hero (woman + wearable), plum accent CTA, and headline remain readable. Confidence upgraded from low after visual re-check."
Apple Fitness+,https://www.apple.com/apple-fitness-plus/,video-loop,yes,light,muted,warm,other,identity-color,one-sentence-promise|single-cta|transformation|warmth-belonging,Gets you moving. Keeps you going.,Apple brand authority and high-production studio video quality,Premium workout environment with approachable professional trainers,high,Video loop of two trainers in warm wood/brick studio; pause icon visible. Neon-lime green 'Try it free*' CTA is signature Fitness+ accent. White secondary header bar. | color_field other: photographic full-bleed / non-token field.
Garmin,https://www.garmin.com/,human-photo,yes,light,muted,warm,clinical-white,none,identity-aspiration|ritual-lifestyle|single-cta|scarcity-exclusivity|competence-precision,SOMETHING NEW IS COMING,Professional outdoor photography and high-spec product cards below,Aspirational trail-runner lifestyle plus SALE urgency on featured watches,high,Trail runner at sunrise hero with warm sun flare; white ghost 'LEARN MORE' CTA. Featured product carousel with SALE badges on clinical-white field below black FEATURED bar.
Peloton,https://www.onepeloton.com/,human-photo,yes,dark,muted,warm,editorial-paper,identity-color,identity-aspiration|transformation|ritual-lifestyle|product-as-demo|one-sentence-promise,See where movement takes you,Peloton brand prestige and recognizable equipment lineup,Welcome to your new favorite workout — athletic lifestyle aspiration,high,Two women in dynamic studio poses on warm beige editorial field; black nav bar. Product cards below show equipment lineup. Red chat button is small identity accent.
Strava,https://www.strava.com/,mixed,yes,light,muted,warm,clinical-white,identity-color,social-proof-numbers|warmth-belonging|product-as-demo|identity-aspiration|ritual-lifestyle,Community-Powered Motivation,Join over 100 million active people on Strava for free,Track progress and cheer each other on — community belonging,high,"Mixed: human-photo flanking columns (cyclists left, runners right) with product-ui overlays (phone map, watch timer); typography-led center column dominates copy/CTA. Strava orange on logo and primary email signup button."
Aware,https://www.aware.app/,typography-led,no,light,muted,cool,clinical-white,none,,Live homepage blocked by Vercel Security Checkpoint in this capture environment.,Not observable on live capture.,Not observable on live capture.,low,Vercel bot wall; no marketing coding from live homepage.
aescolab,https://www.aescolab.de/,mixed,yes,light,muted,warm,clinical-white,identity-color,social-proof-numbers|social-proof-logos|competence-precision|transformation|identity-aspiration|product-as-demo|scarcity-exclusivity|one-sentence-promise,Understand what your body is really missing.,"85+ tested blood values, 4.9 Google rating, 1000+ customers; partner logos (Kring, meditrain, brother, IMD Labor Berlin)",Real change from 85+ blood values and personal health plans for fatigue and stress,high,"Mixed: human-photo (woman in sunlit setting) dominates with product-ui data cards overlaid (energy score 76, Vitamin D, Omega-3). Orange CTA and countdown promo banner (100€ voucher). Partner logo bar at bottom."
Thriva,https://thriva.co/,human-photo,yes,split,muted,warm,clinical-white,identity-color,identity-aspiration|social-proof-logos|social-proof-numbers|authority|one-sentence-promise|competence-precision|ritual-lifestyle,Know your body. Own your health.,"Trustpilot Excellent (3,175 reviews); As seen in Guardian, Forbes, FT, TechCrunch",Gym weightlifting lifestyle imagery — push what matters with at-home blood testing,high,"Full-bleed gym photo of woman at barbell with man spotting; floating white capsule header. Purple identity CTA. Off-white trust bar with 75+ markers, painless testing, flexible pricing badges."
SuperAge,https://www.superage.app/,typography-led,no,dark,muted,cool,tech-black,none,competence-precision,Language gate before biological-age tracking product; little marketing rhetoric on first screen.,Positions as biological age tracking (meta description).,Minimal on first screen — desire deferred past language chooser.,low,First viewport is Choose Your Language interstitial; meta describes biological age optimization. Low confidence for full homepage rhetoric.
HUM2N,https://www.hum2n.com/,human-photo,yes,split,saturated,cool,clinical-white,identity-color,social-proof-logos|identity-aspiration|transformation|competence-precision,BECOME THE HUM2N YOU WANT TO BE,"BBC News, Metro, Bazaar, Condé Nast Traveler, Channel 4 media logos","Discover your 2.0 — become a healthier, sharper, more empowered version of yourself",high,Woman in medical oxygen mask under saturated cool-green glow with grid background; white header/footer split from dark hero. Green HUM2N wordmark in headline; orange shop CTA in nav. WhatsApp chat icon bottom-right.
Mito Health,https://mitohealth.com/,mixed,no,light,muted,mixed,editorial-paper,identity-color,authority|social-proof-logos|social-proof-numbers|one-sentence-promise|transformation|competence-precision|product-as-demo,Stay ahead of your health,Clinician-reviewed guidance; HSA/FSA eligible; Trustpilot Excellent 4.8/5 with scrolling testimonials,Catch issues early and feel your best for longer with transparent pricing,high,Mixed: typography-led copy and AI search prompt ('What should I test for brain fog?') dominate over nature landscape photo backdrop. Cream editorial-paper field; bright green manifesto banner. Trustpilot bar immediately below fold.
Empirical Health,https://www.empirical.health/,mixed,yes,light,muted,warm,editorial-paper,identity-color,loss-aversion|specificity-named-method|social-proof-numbers|identity-aspiration|competence-precision|transformation,Don't die of a heart attack,"100+ high-signal biomarkers for $190 with named markers (ApoB, Lp(a))",Active senior with biomarker overlay cards showing measurable improvement,high,"Mixed: human-photo (active older man with basketball) dominates with product-ui biomarker overlays (ApoB +12%, lp(a) -5%). Terracotta red identity accent on logo, headline 'heart attack', and CTA. Warm cream editorial-paper background."
OneTwenty,https://onetwenty.com/,mixed,no,light,muted,cool,clinical-white,CTA-only,one-sentence-promise|competence-precision|transformation|identity-aspiration|scarcity-exclusivity,See everything. Change what matters.,Minimalist clinical exclusivity via Founding Member invitation,Total visibility into health data to enable meaningful change,high,Mixed: typography-led headline dominates over soft abstract-gradient backdrop (pale lavender/blue). Black pill CTA 'Become a Founding Member'. No humans or product imagery in viewport.
Endon,https://www.endon-blutbild.de/,typography-led,no,dark,saturated,cool,tech-black,identity-color,identity-aspiration|one-sentence-promise|single-cta|competence-precision,Blutanalysen für Ausdauersportler.,Clean high-contrast tech aesthetic signals scientific precision,Designed for athletes who chase more than a finish line,high,"Solid tech-black viewport with mint-green identity headline, logo, and gradient CTA 'Unser Angebot'. Digest notes video element but screenshot shows typography-only hero on black. Bilingual German/English copy."
Mavie Work,https://www.mavie.care/,typography-led,no,dark,muted,cool,brand-color-field,identity-color,one-sentence-promise|transformation|regulatory-promotion|regulatory-prevention,Centers a serif promise My health. More life. on a dark brand-green field (B2B/prevention health).,Clinical-editorial typography and German prevention framing (Mavie = holistic health & Prävention).,Gain-framed longevity promise (more life) rather than fear copy.,medium,Large Usercentrics cookie banner obscures lower hero; headline and brand green still visible. HTML confirms prevention/digital medicine positioning. color_field brand-color-field = deep forest green.
Immortals,https://immortals.com/,human-photo,yes,dark,saturated,cool,brand-color-field,CTA-only,authority|identity-aspiration|specificity-named-method|one-sentence-promise|single-cta|product-as-demo,Build your longevity protocol like Bryan Johnson,"Bryan Johnson and Kate Tol founders photographed together; product cards show medicine, biomarkers, concierge doctor","Celebrity-founder longevity protocol with Blueprint, Medicine, Biomarkers, Concierge, and App product lineup",high,"Full hero visible: navy-blue field, founder photo, white Learn more CTA, five Explore Immortals product cards below"
Lifeforce,https://www.mylifeforce.com/,typography-led,no,light,muted,warm,editorial-paper,identity-color,one-sentence-promise|authority|competence-precision|transformation|single-cta,Add life to your years.,"America's largest longevity medicine program claim with diagnostics, doctors, coaches, science-backed therapies",Warm cream editorial layout with amber Measure My Biomarkers CTA promises longevity control,high,"Clean typography hero on warm beige field, serif headline with glow, amber Become a Member nav CTA"
The Outsiders,https://gentlerstories.com/theoutsiders,mixed,yes,dark,saturated,mixed,tech-black,identity-color,product-as-demo|social-proof-logos|competence-precision|identity-aspiration|specificity-named-method|single-cta,Training Readiness for Endurance Athletes,"Row of Apple Design Awards, Editors' Choice, App of the Day, Apps We Love badges at bottom",B&W cyclist photo with phone showing 95% Prime Readiness score and training balance metrics,high,"Dark hero with motion-blurred cyclist background, purple app UI on phone, App Store download CTA, six award badges"
Gentler Streak,https://gentler.app/,mixed,yes,light,muted,warm,other,identity-color,warmth-belonging|social-proof-logos|product-as-demo|transformation|one-sentence-promise,The Fitness Tracker That Puts Your Well-being First,"Three Apple awards displayed: App of the Year 2022, Design Awards 2024 Social Impact, Design Awards 2023 Finalist",Hand holding orange phone with cheerful heart character and Activity Path graph; no-guilt consistency messaging,high,"Grey gradient background, orange brand identity, phone mockup with illustration character, three laurel-wreath award badges | color_field other: photographic full-bleed / non-token field."
Veri,https://www.veri.co/,mixed,yes,light,muted,mixed,editorial-paper,identity-color,social-proof-numbers|authority|product-as-demo|transformation|competence-precision|one-sentence-promise,Your Personalized Metabolic Health Program,"40,000+ Lives changed with customer avatars; Advised by experts from Harvard, Stanford, Duke, CDC logos below","Phone app UI with CGM sensor, meal tagging (Fusilli Pasta Moderate, Cherry Tomatoes Enjoy), personalized food guidance",high,"ŌURA acquisition banner at top; green identity color; full hero with product demo, social proof, and university logos visible"
Polar,https://www.polar.com/en,product-ui,no,dark,saturated,mixed,tech-black,identity-color,product-as-demo|identity-aspiration|competence-precision|single-cta|ritual-lifestyle,Street X — versatile urban sports watch for hybrid athletes,Three Street X colorways with distinct watch-face UIs showcased in professional product photography,"Dark gradient hero positions watch for city dwellers who live, work, and train in the urban environment",high,"Full hero visible: three watches (olive, white, black) on dark field, red Buy now CTA, purple-orange gradient bar at bottom"
Fitbit,https://store.google.com/us/category/watches_trackers,typography-led,no,light,saturated,cool,clinical-white,identity-color,one-sentence-promise|product-as-demo|authority,Make every move a healthy one with Google Pixel and Fitbit.,"Google Store authority with ten-product lineup grid spanning Pixel Watch, Fitbit Air, Charge 6, Inspire 3, Versa 4",Clean white clinical layout with product catalog row and Google Health ecosystem positioning,high,"Google Store navigation, product icon grid with New badges, large centered headline, no hero photography"
Amazfit,https://www.amazfit.com/,product-ui,no,light,saturated,cool,brand-color-field,identity-color,product-as-demo|single-cta|one-sentence-promise,Pushes newest watch SKUs (e.g. Balance 3 Titanium) as wrist health-management hardware.,Official store framing as health management expert on your wrist.,New product drop CTA to order latest hardware.,medium,Geo/region interstitial partially blocked capture; HTML and partial viewport support product-led ecommerce hero.
COROS,https://www.coros.com/,human-photo,yes,light,saturated,cool,other,identity-color,identity-aspiration|ritual-lifestyle|specificity-named-method|product-as-demo,SATISFY COROS APEX 4 — The ultimate mountain sports watch,Athlete leaning on rock in mountain landscape wearing COROS watch; SATISFY brand collaboration,Full-bleed outdoor adventure photography with Learn More and Shop Now ghost CTAs on hero image,high,"White nav bar, full-width hero photo of athlete in green mountain setting, carousel controls visible, product cards below | color_field other: photographic full-bleed / non-token field."
Suunto,https://www.suunto.com/,product-ui,no,light,muted,cool,clinical-white,CTA-only,identity-aspiration|ritual-lifestyle|product-as-demo|one-sentence-promise,Adventure starts here — sports watches framed as instruments for tough outdoor ritual.,Heritage precision-instrument brand language in meta/copy.,Identity as adventurer via Vertical 2 / Race 2 product heroes.,medium,Consent/geo modal reduced confidence; coded from visible product hero fragments + HTML og description. Upgraded from empty bot-like coding.
Tonal,https://www.tonal.com/,typography-led,no,split,muted,cool,clinical-white,CTA-only,one-sentence-promise|scarcity-exclusivity|transformation|competence-precision,Lead-capture modal sells 80% accessories savings while background headline promises personal-trainer expertise at home.,Minimalist high-contrast UI plus Healthcare nav and transparent MSRP fine print.,Expiring bundle discount plus full-gym-in-your-home transformation promise.,medium,Promo modal dominates first viewport; background headline still readable. Product hardware not clearly visible in shot.
Rise Science,https://www.risescience.com/,mixed,no,dark,saturated,mixed,tech-black,identity-color,product-as-demo|one-sentence-promise|transformation|single-cta,The power behind your next best day.,Phone mockup showing Rise sleep app interface with sleep debt and circadian rhythm data,Dark tech aesthetic with orange-to-purple gradient circle; App Store and Google Play download buttons,high,"Full hero visible: black field, gradient orb, angled phone with app UI, TRY FOR FREE purple-bordered CTA, cookie preferences widget"
Runna,https://www.runna.com/,product-ui,no,dark,saturated,mixed,tech-black,identity-color,product-as-demo|one-sentence-promise|authority|competence-precision|social-proof-logos,Running made simple,"by Strava branding in header; five phone screens showing workout plans, calendar, GPS tracking, marathon training",Coral-accented dark hero with tailored running plans from 5k to marathon; Start Your Free Trial CTA,high,"Full hero visible: charcoal background with curved track lines, five iPhone mockups, coral identity color on simple and CTAs"
Hydrow,https://hydrow.com/,typography-led,no,light,muted,cool,clinical-white,none,,Live homepage blocked by Vercel Security Checkpoint in this capture environment.,Not observable on live capture.,Not observable on live capture.,low,Vercel bot wall; no marketing coding from live homepage.
Bioniq,https://bioniq.com/,product-ui,no,light,saturated,cool,clinical-white,identity-color,social-proof-logos|social-proof-numbers|competence-precision|specificity-named-method|single-cta|transformation,Are You Taking Supplements That Fit Your Needs?,Trustpilot Excellent 5-star rating; carousel of verified buyer testimonials with 5-star quotes below hero,Teal supplement canister product photo with granular pellets; orange Start the Wellness Assessment CTA,high,"Clean clinical layout: question headline, science-backed ingredients subhead, product photo right, testimonial carousel at bottom"
Rootine,https://www.rootine.co/,mixed,no,light,saturated,warm,other,identity-color,one-sentence-promise|transformation|ritual-lifestyle|specificity-named-method|single-cta,Drink to better mind & mood health,SCIENCE nav link and 30% OFF sitewide banner establish credibility and lower barrier,Warm citrus lifestyle photography with stress sachet inset and Sighs of Relief badge; coral IMPROVE SLEEP CTA,high,"Full hero visible: citrus drink background photo, product inset with sachet and glass, warm saturated palette, discount banner | color_field other: photographic full-bleed / non-token field."
January AI,https://january.ai/,mixed,no,light,muted,mixed,editorial-paper,identity-color,competence-precision|authority|product-as-demo|one-sentence-promise|specificity-named-method,AI that knows the whole patient,"SOC 2 Type II badge; Health Context Engine UI showing EHR, labs, wearables, genomics data ingestion",Cream editorial layout with dark product mockup showing HbA1c 6.9%→6.2% longitudinal timeline case study,high,"Full hero visible: cream background, bold black headline, acid-yellow accents, data dashboard mockup, Book a demo CTA"
Tally Health,https://tallyhealth.com/,human-photo,yes,dark,muted,warm,editorial-paper,identity-color,transformation|competence-precision|specificity-named-method|one-sentence-promise|regulatory-promotion,Unlock more healthy years,Target aging at the cellular level; backed by science subhead anchors clinical credibility,Macro photo of fingers holding green supplement capsule in warm golden-hour lighting; coral Save 15% and Discover TallyAge CTAs,high,"Full hero visible: moody macro photography, white headline on dark photo, coral/pink identity CTAs, HSA/FSA banner at top"
Human Longevity,https://www.humanlongevity.com/,mixed,yes,split,muted,cool,tech-black,identity-color,competence-precision|transformation|one-sentence-promise|regulatory-prevention|identity-aspiration,Prevent disease years before symptoms,"Vision statement citing genomics, AI, precision medicine; teal-highlighted scientific terminology",Dark charcoal vision section transitions to fit middle-aged man in athletic gear; Get Started white CTA in nav,high,"Split layout: dark OUR VISION typography section with teal italic highlights, human photo visible in lower viewport, AI-POWERED EARLY DETECTION label | Theory: Prevent disease years before symptoms = Higgins regulatory-prevention (loss of future health), not promotion."
Biograph,https://www.biograph.com/,mixed,no,dark,muted,mixed,tech-black,CTA-only,authority|social-proof-numbers|competence-precision|regulatory-prevention|single-cta|identity-aspiration,"Act now, live longer",Clinician-led expert guidance paired with 30+ assessments and 1-in-6 urgent-findings statistics,Premium architectural night imagery positions Biograph as an exclusive preventive-health retreat,high,"Full hero visible: glass pavilion photo, white headline, stats bar, Join Biograph CTA buttons"
AgelessRx,https://agelessrx.com/,human-photo,yes,dark,muted,warm,other,identity-color,social-proof-numbers|warmth-belonging|competence-precision|transformation|regulatory-promotion|one-sentence-promise|single-cta|ritual-lifestyle,How you age is up to you,Trustpilot Excellent 5-star rating plus science-backed clinician-guided care subhead,"Mother-child yoga lifestyle photo with lime-green UI overlay showing longevity, focus, mood, and stress benefits",high,"Clear full-bleed lifestyle photo, Trustpilot badge, benefit callouts, Start Your Journey CTA | color_field other: photographic full-bleed / non-token field."
Optispan,https://www.optispan.life/,typography-led,no,light,muted,mixed,editorial-paper,identity-color,authority|competence-precision|specificity-named-method|privacy-safety|one-sentence-promise,Precision Health. Optimized Performance.,Physician-led longevity performance practice subhead anchors clinical credibility,Healthspan Cheat Sheet lead-capture modal promises free Pillars guide and science targets,medium,"Lead-gen modal covers center of hero; underlying headline, teal graphic, and navigation clearly visible"
